Station ID,Visit,Data_Source,Location,Date,Chl,MC
NLA06608-0042,2,NLA 07,,,1.276,NA
NLA06608-0043,1,NLA 07,,,5.409,NA
NLA06608-0043,2,NLA 07,,,5.317,NA
NLA06608-0044,1,NLA 07,,,135.61,NA
NLA06608-0044,2,NLA 07,,,130.4,NA
NLA06608-0045,1,NLA 07,,,20.16,NA
NLA06608-0045,1,NLA 12,,,27.04,NA
NLA06608-0045,1,NLA 12,,,64.672,NA
NLA06608-0045,2,NLA 07,,,21.12,NA
NLA06608-0045,2,NLA 12,,,21.6,NA
NLA06608-0045,2,NLA 12,,,81.28,NA
NLA06608-0048,1,NLA 07,,,54,NA
NLA06608-0048,2,NLA 07,,,22.693,NA
NLA06608-0049,1,NLA 07,,,1.136,NA
NLA06608-0050,1,NLA 07,,,3.952,NA
NLA06608-0050,2,NLA 07,,,10.08,NA
NLA06608-0053,1,NLA 07,,,6.256,NA
NLA06608-0053,2,NLA 07,,,5.008,NA
NLA06608-0057,1,NLA 07,,,125.396,0.17
NLA06608-0057,2,NLA 07,,,70.8,0.27
NLA06608-0061,1,NLA 07,,,3.5,NA
NLA06608-0061,2,NLA 07,,,9.648,NA
NLA06608-0062,1,NLA 07,,,2.184,8.9
NLA06608-0062,2,NLA 07,,,58.8,2.6
NLA06608-0064,1,NLA 07,,,19.04,0.65
NLA06608-0064,1,NLA 12,,,8.56,0.34227
NLA06608-0064,1,NLA 12,,,9.888,0.64599
NLA06608-0064,2,NLA 07,,,13.78666,9.6
NLA06608-0065,1,NLA 07,,,0.568,NA
NLA06608-0065,1,NLA 12,,,1.014,NA
NLA06608-0065,1,NLA 12,,,0.97,NA
NLA06608-0065,2,NLA 07,,,0.898,NA
NLA06608-0066,1,NLA 07,,,1.749,NA
NLA06608-0066,2,NLA 07,,,6.6,NA
NLA06608-0068,1,NLA 07,,,0.953,NA
NLA06608-0068,1,NLA 12,,,1.224,NA
NLA06608-0068,1,NLA 12,,,1.45,NA
NLA06608-0068,2,NLA 07,,,0.46,NA
NLA06608-0069,1,NLA 07,,,7.408,NA
NLA06608-0069,1,NLA 12,,,2.8,NA
NLA06608-0069,1,NLA 12,,,3.144,0.12605
NLA06608-0069,2,NLA 07,,,4.113,NA
NLA06608-0071,1,NLA 07,,,198.72,1.1
NLA06608-0071,1,NLA 12,,,94.67,0.2583
NLA06608-0071,1,NLA 12,,,100.5333333,0.17377
NLA06608-0071,2,NLA 07,,,200.16,0.76
NLA06608-0071,2,NLA 12,,,93,NA
NLA06608-0071,2,NLA 12,,,94.67,0.23042
NLA06608-0072,1,NLA 07,,,10.128,4.3
NLA06608-0072,2,NLA 07,,,146.88,28
NLA06608-0076,1,NLA 07,,,10.88,NA
NLA06608-0076,1,NLA 12,,,17.12,0.11367
NLA06608-0076,1,NLA 12,,,17.12,0.10899
NLA06608-0076,2,NLA 07,,,28.8,0.13
NLA06608-0077,1,NLA 07,,,67.968,NA
NLA06608-0077,1,NLA 12,,,17.28,NA
NLA06608-0077,1,NLA 12,,,27.9,0.10782
NLA06608-0077,2,NLA 07,,,94.608,NA
NLA06608-0078,1,NLA 07,,,10.016,15
NLA06608-0078,2,NLA 07,,,13.248,5
NLA06608-0079,1,NLA 07,,,2.352,NA
NLA06608-0079,1,NLA 12,,,1.96,NA
NLA06608-0079,1,NLA 12,,,1.372,NA
NLA06608-0079,2,NLA 07,,,1.402,NA
NLA06608-0080,1,NLA 07,,,58.464,NA
NLA06608-0080,2,NLA 07,,,62.64,NA
NLA06608-0081,1,NLA 07,,,6.664,NA
NLA06608-0081,2,NLA 07,,,62.023,NA
NLA06608-0083,1,NLA 07,,,3.744,1.2
NLA06608-0083,1,NLA 12,,,19.48,0.63414
NLA06608-0083,1,NLA 12,,,16.68,0.42797
NLA06608-0083,2,NLA 07,,,6.08,2.5
NLA06608-0085,1,NLA 07,,,4.04,0.14
NLA06608-0085,1,NLA 12,,,3.024,NA
NLA06608-0085,1,NLA 12,,,3.02,NA
NLA06608-0085,2,NLA 07,,,45.2,NA
NLA06608-0086,1,NLA 07,,,18.24,0.44
NLA06608-0086,1,NLA 12,,,28.96,NA
NLA06608-0086,1,NLA 12,,,42.88,NA
NLA06608-0086,2,NLA 07,,,52.56,0.3
NLA06608-0089,1,NLA 07,,,11.36,NA
NLA06608-0089,2,NLA 07,,,31.2,NA
NLA06608-0090,1,NLA 07,,,4.357,NA
NLA06608-0090,2,NLA 07,,,1.54,NA
NLA06608-0091,1,NLA 07,,,118.8,1.8
NLA06608-0091,2,NLA 07,,,131.4,1
NLA06608-0099,1,NLA 07,,,4.6,4.5
NLA06608-0099,1,NLA 12,,,0.92,0.105
NLA06608-0099,1,NLA 12,,,1.27,NA
NLA06608-0099,2,NLA 07,,,2.66,2.6
NLA06608-0101,1,NLA 07,,,0.695,NA
NLA06608-0101,1,NLA 12,,,0.98,NA
NLA06608-0101,1,NLA 12,,,1.28,NA
NLA06608-0102,1,NLA 07,,,1.2,NA
NLA06608-0102,1,NLA 12,,,4.565,NA
NLA06608-0102,1,NLA 12,,,2.63,NA
NLA06608-0104,1,NLA 07,,,38.2,NA
NLA06608-0104,1,NLA 12,,,44.4,0.11708
NLA06608-0104,1,NLA 12,,,5.88,0.10243
NLA06608-0104,2,NLA 07,,,36.257,NA
NLA06608-0105,1,NLA 07,,,5.976,NA
NLA06608-0105,2,NLA 07,,,22.4,NA
NLA06608-0107,1,NLA 07,,,2.315,NA
NLA06608-0110,1,NLA 07,,,1.771,NA
NLA06608-0110,1,NLA 12,,,2.06,0.10524
NLA06608-0110,1,NLA 12,,,1.558,NA
NLA06608-0111,1,NLA 07,,,3.256,0.13
NLA06608-0112,1,NLA 07,,,84.764,0.58
NLA06608-0113,1,NLA 07,,,4.688,NA
NLA06608-0113,1,NLA 12,,,3.76,NA
NLA06608-0113,1,NLA 12,,,4.14,NA
NLA06608-0115,1,NLA 07,,,1.352,NA
NLA06608-0115,1,NLA 12,,,2.58,NA
NLA06608-0115,1,NLA 12,,,2.58,NA
NLA06608-0116,1,NLA 07,,,2.816,NA
NLA06608-0120,1,NLA 07,,,2.54,NA
NLA06608-0120,1,NLA 12,,,9.04,0.13297
NLA06608-0120,1,NLA 12,,,19.4,0.10387
NLA06608-0120,2,NLA 07,,,1.784,NA
NLA06608-0124,1,NLA 07,,,31.586,0.2
NLA06608-0126,1,NLA 07,,,228.24,0.9
NLA06608-0126,2,NLA 07,,,381.6,3.2
NLA06608-0127,1,NLA 07,,,5.92,NA
NLA06608-0128,1,NLA 07,,,0.455,NA
NLA06608-0128,2,NLA 07,,,271.44,1.6
NLA06608-0129,1,NLA 07,,,0.428,NA
NLA06608-0129,2,NLA 07,,,0.659,NA
NLA06608-0130,1,NLA 07,,,12.912,NA
NLA06608-0132,1,NLA 07,,,8.107,NA
NLA06608-0134,1,NLA 07,,,1.576,NA
NLA06608-0134,1,NLA 12,,,1.42,NA
NLA06608-0134,1,NLA 12,,,1.52,0.10081
NLA06608-0137,1,NLA 07,,,1.326,NA
NLA06608-0139,1,NLA 07,,,12.8,0.16
NLA06608-0140,1,NLA 07,,,52.56,NA
NLA06608-0140,1,NLA 12,,,13.12,0.33546
NLA06608-0140,1,NLA 12,,,50.4,0.33697
NLA06608-0141,1,NLA 07,,,110.16,0.1
NLA06608-0141,1,NLA 12,,,88.4,0.16271
NLA06608-0141,1,NLA 12,,,92.8,0.168
NLA06608-0141,2,NLA 12,,,65.33333333,0.72643
NLA06608-0141,2,NLA 12,,,61.33,0.68652
NLA06608-0142,1,NLA 07,,,1.364,NA
NLA06608-0142,1,NLA 12,,,4.97,NA
NLA06608-0142,1,NLA 12,,,3.02,NA
NLA06608-0144,1,NLA 07,,,22.248,NA
NLA06608-0144,2,NLA 07,,,5.832,NA
NLA06608-0148,1,NLA 07,,,1.866,NA
NLA06608-0149,1,NLA 07,,,4.18,NA
NLA06608-0150,1,NLA 07,,,8.224,0.47
NLA06608-0150,1,NLA 12,,,6.56,0.15795
NLA06608-0150,1,NLA 12,,,2.75,0.14242
NLA06608-0152,1,NLA 07,,,5.2,0.1
NLA06608-0153,1,NLA 07,,,10.4,NA
NLA06608-0153,1,NLA 12,,,2.16,NA
NLA06608-0153,1,NLA 12,,,11.456,NA
NLA06608-0155,1,NLA 07,,,79.8,0.29
NLA06608-0155,1,NLA 12,,,59.36,0.16382
NLA06608-0155,1,NLA 12,,,66.24,0.30683
NLA06608-0158,1,NLA 07,,,3.136,0.11
NLA06608-0161,1,NLA 07,,,39,NA
NLA06608-0162,1,NLA 07,,,2.56,NA
NLA06608-0162,1,NLA 12,,,3.82,NA
NLA06608-0162,1,NLA 12,,,3.8,NA
NLA06608-0167,1,NLA 07,,,936,1.6
NLA06608-0167,1,NLA 12,,,122.4,0.54
NLA06608-0167,1,NLA 12,,,124.8,0.77
NLA06608-0167,2,NLA 07,,,643.68,1.3
NLA06608-0168,1,NLA 07,,,21.76,1.9
NLA06608-0169,1,NLA 07,,,2.592,NA
NLA06608-0169,2,NLA 07,,,26.352,0.32
NLA06608-0170,1,NLA 07,,,1.435,0.38
NLA06608-0173,1,NLA 07,,,70.4,0.36
NLA06608-0173,1,NLA 12,,,153,2.2323
NLA06608-0173,1,NLA 12,,,176,2.6831
NLA06608-0174,1,NLA 07,,,6.752,0.42
NLA06608-0174,2,NLA 07,,,6.032,0.8
NLA06608-0175,1,NLA 07,,,19.68,NA
NLA06608-0176,1,NLA 07,,,25.76,NA
NLA06608-0177,1,NLA 07,,,3.576,NA
NLA06608-0177,1,NLA 12,,,1.63,NA
NLA06608-0177,1,NLA 12,,,3.168,NA
NLA06608-0179,1,NLA 07,,,18.4,0.12
NLA06608-0179,2,NLA 07,,,104.4,NA
NLA06608-0180,1,NLA 07,,,30.615,0.14
NLA06608-0181,1,NLA 07,,,1.381,0.13
NLA06608-0181,1,NLA 12,,,2.2,NA
NLA06608-0181,1,NLA 12,,,1.9,NA
NLA06608-0183,1,NLA 07,,,30.096,NA
NLA06608-0183,1,NLA 12,,,114,0.832
NLA06608-0183,1,NLA 12,,,72.4,1.094
NLA06608-0184,1,NLA 07,,,40.752,NA
NLA06608-0185,1,NLA 07,,,3.128,0.15
NLA06608-0189,1,NLA 07,,,32.256,1.7
NLA06608-0189,2,NLA 07,,,47.232,NA
NLA06608-0190,1,NLA 07,,,5.168,NA
NLA06608-0191,1,NLA 07,,,1.129,NA
NLA06608-0191,1,NLA 12,,,0.864,NA
NLA06608-0191,1,NLA 12,,,0.78,0.10554
NLA06608-0193,1,NLA 07,,,0.302,NA
NLA06608-0195,1,NLA 07,,,15.552,0.19
NLA06608-0196,1,NLA 07,,,31.4,NA
NLA06608-0198,1,NLA 07,,,10.672,NA
NLA06608-0201,1,NLA 07,,,0.797,NA
NLA06608-0201,1,NLA 12,,,0.2,NA
NLA06608-0201,1,NLA 12,,,0.6,NA
NLA06608-0203,1,NLA 07,,,0.772,NA
NLA06608-0204,1,NLA 07,,,68.85,1
NLA06608-0207,1,NLA 07,,,6.518,NA
NLA06608-0207,2,NLA 07,,,7.792,NA
NLA06608-0208,1,NLA 07,,,65.6,1.5
NLA06608-0208,1,NLA 12,,,74,1.00566
NLA06608-0208,1,NLA 12,,,72.9,0.49357
NLA06608-0209,1,NLA 07,,,2.408,NA
NLA06608-0209,2,NLA 07,,,4.112,NA
NLA06608-0211,1,NLA 07,,,9.067,3.3
NLA06608-0212,1,NLA 07,,,4.36,NA
NLA06608-0212,1,NLA 12,,,7.41,NA
NLA06608-0212,1,NLA 12,,,14.13,NA
NLA06608-0215,1,NLA 07,,,58.464,6.1
NLA06608-0216,1,NLA 07,,,19.2,0.3
NLA06608-0216,1,NLA 12,,,257.6,0.6617
NLA06608-0216,1,NLA 12,,,190.4,0.94358
NLA06608-0217,1,NLA 07,,,17.6,0.54
NLA06608-0219,1,NLA 07,,,55.584,3.4
NLA06608-0219,1,NLA 12,,,27.57333333,3.93528
NLA06608-0219,1,NLA 12,,,28.8,2.38378
NLA06608-0220,1,NLA 07,,,871.2,28
NLA06608-0220,1,NLA 12,,,46.67,3.36436
NLA06608-0220,1,NLA 12,,,48.467,3.93429
NLA06608-0221,1,NLA 07,,,31.68,NA
NLA06608-0221,1,NLA 12,,,49.12,NA
NLA06608-0221,1,NLA 12,,,10.66,NA
NLA06608-0222,1,NLA 07,,,38.736,NA
NLA06608-0223,1,NLA 07,,,21.92,NA
NLA06608-0223,2,NLA 07,,,60.912,NA
NLA06608-0224,1,NLA 07,,,1.883,NA
NLA06608-0224,1,NLA 12,,,2.48,NA
NLA06608-0224,1,NLA 12,,,2.136,NA
NLA06608-0224,2,NLA 07,,,2.744,0.12
NLA06608-0225,1,NLA 07,,,0.876,NA
NLA06608-0225,2,NLA 07,,,1.668,NA
NLA06608-0226,1,NLA 07,,,5.888,NA
NLA06608-0228,1,NLA 07,,,1.429,NA
NLA06608-0228,2,NLA 07,,,17.424,0.11
NLA06608-0229,1,NLA 07,,,3.6,NA
NLA06608-0229,1,NLA 12,,,2.79,0.13205
NLA06608-0229,1,NLA 12,,,1.171428571,NA
NLA06608-0234,1,NLA 07,,,4.776,0.31
NLA06608-0234,1,NLA 12,,,2.808,NA
NLA06608-0234,1,NLA 12,,,3.26,NA
NLA06608-0234,2,NLA 12,,,5.256,NA
NLA06608-0234,2,NLA 12,,,4.92,0.11308
NLA06608-0235,1,NLA 07,,,7.8,0.81
NLA06608-0235,1,NLA 12,,,6.186666667,0.49583
NLA06608-0235,1,NLA 12,,,4.32,0.44725
NLA06608-0237,1,NLA 07,,,1.858,NA
NLA06608-0237,1,NLA 12,,,0.334,0.12256
NLA06608-0237,1,NLA 12,,,0.42,NA
NLA06608-0237,2,NLA 07,,,4.233,NA
NLA06608-0238,1,NLA 07,,,2.976,NA
NLA06608-0239,1,NLA 07,,,2.659,NA
NLA06608-0240,1,NLA 07,,,2.104,NA
NLA06608-0240,1,NLA 12,,,5.237333333,0.1083
NLA06608-0240,1,NLA 12,,,3.8,NA
NLA06608-0241,1,NLA 07,,,9.744,NA
NLA06608-0242,1,NLA 07,,,2.872,NA
NLA06608-0243,1,NLA 07,,,1.821,NA
NLA06608-0243,1,NLA 12,,,2.74,0.11759
NLA06608-0243,1,NLA 12,,,2.63,0.11936
NLA06608-0243,2,NLA 12,,,3.28,NA
NLA06608-0243,2,NLA 12,,,2.34,0.1035
NLA06608-0244,1,NLA 07,,,6,NA
NLA06608-0245,1,NLA 07,,,2.656,NA
NLA06608-0247,1,NLA 07,,,55.8,0.85
NLA06608-0249,1,NLA 12,,,7.22,NA
NLA06608-0249,1,NLA 12,,,11.472,NA
NLA06608-0253,1,NLA 07,,,32.544,0.1
NLA06608-0254,1,NLA 07,,,49.6,1.3
NLA06608-0255,1,NLA 07,,,2.438,NA
NLA06608-0257,1,NLA 07,,,1.147,NA
NLA06608-0259,1,NLA 07,,,48.24,0.13
NLA06608-0260,1,NLA 07,,,1.273,NA
NLA06608-0268,1,NLA 07,,,7.7,NA
NLA06608-0268,1,NLA 12,,,4.56,0.12229
NLA06608-0268,1,NLA 12,,,12.2,NA
NLA06608-0271,1,NLA 07,,,30.04,NA
NLA06608-0271,1,NLA 12,,,111.2,1.3513
NLA06608-0271,1,NLA 12,,,104.4,0.58585
NLA06608-0275,1,NLA 07,,,6.72,2.3
NLA06608-0276,1,NLA 07,,,1.978,NA
NLA06608-0277,1,NLA 07,,,12.928,NA
NLA06608-0277,1,NLA 12,,,18.88,NA
NLA06608-0277,1,NLA 12,,,13.76,NA
NLA06608-0279,1,NLA 07,,,126.267,3.6
NLA06608-0279,1,NLA 12,,,92.8,1.3
NLA06608-0279,1,NLA 12,,,57.6,0.49
NLA06608-0280,1,NLA 07,,,20.952,1
NLA06608-0280,1,NLA 12,,,13.7,0.10417
NLA06608-0280,1,NLA 12,,,11.2,0.11624
NLA06608-0281,1,NLA 07,,,25.097,0.17
NLA06608-0283,1,NLA 07,,,9.86,NA
NLA06608-0283,1,NLA 12,,,8.945454545,NA
NLA06608-0283,1,NLA 12,,,10.85,NA
NLA06608-0284,1,NLA 07,,,20.8,NA
NLA06608-0285,1,NLA 07,,,35.28,0.19
NLA06608-0285,1,NLA 12,,,45.12,NA
NLA06608-0285,1,NLA 12,,,75.04,0.19985
NLA06608-0286,1,NLA 07,,,2.224,NA
NLA06608-0286,1,NLA 12,,,2.5,NA
NLA06608-0286,1,NLA 12,,,2.974117647,NA
NLA06608-0290,1,NLA 07,,,4.304,1.1
NLA06608-0290,2,NLA 07,,,15.6,NA
NLA06608-0291,1,NLA 07,,,3.624,NA
NLA06608-0293,1,NLA 07,,,21.888,NA
NLA06608-0294,1,NLA 07,,,2.336,NA
NLA06608-0295,1,NLA 07,,,5.733,0.71
NLA06608-0295,1,NLA 12,,,3.112,0.1425
NLA06608-0295,1,NLA 12,,,4.5,0.15559
NLA06608-0297,1,NLA 07,,,14.133,NA
NLA06608-0299,1,NLA 07,,,3.776,0.25
NLA06608-0301,1,NLA 12,,,15.62,NA
NLA06608-0301,1,NLA 12,,,35.4,0.11343
NLA06608-0302,1,NLA 07,,,203.76,3.7
NLA06608-0303,1,NLA 07,,,84.24,0.35
NLA06608-0303,1,NLA 12,,,53.92,1.47749
NLA06608-0303,1,NLA 12,,,52.16,0.79256
NLA06608-0306,1,NLA 07,,,38.733,NA
NLA06608-0306,1,NLA 12,,,11.28,0.47698
NLA06608-0306,1,NLA 12,,,116,189.382
NLA06608-0312,1,NLA 07,,,19.2,NA
NLA06608-0313,1,NLA 07,,,15.08,NA
NLA06608-0318,1,NLA 07,,,13.888,0.1
NLA06608-0319,1,NLA 07,,,4.48,NA
NLA06608-0324,1,NLA 07,,,4.816,NA
NLA06608-0324,1,NLA 12,,,7.376,0.79813
NLA06608-0324,1,NLA 12,,,4.03,0.41527
NLA06608-0325,1,NLA 07,,,46,0.4
NLA06608-0326,1,NLA 07,,,1.262,NA
NLA06608-0327,1,NLA 07,,,56.736,NA
NLA06608-0327,1,NLA 12,,,49.6,NA
NLA06608-0327,1,NLA 12,,,NA,NA
NLA06608-0327,2,NLA 12,,,115.6,NA
NLA06608-0327,2,NLA 12,,,80.8,NA
NLA06608-0328,1,NLA 07,,,117.504,NA
NLA06608-0328,2,NLA 07,,,97.488,0.17
NLA06608-0330,1,NLA 07,,,1.104,NA
NLA06608-0332,1,NLA 07,,,6.444,NA
NLA06608-0332,1,NLA 12,,,10.3,0.15469
NLA06608-0332,1,NLA 12,,,18.9,NA
NLA06608-0333,1,NLA 07,,,5.04,NA
NLA06608-0334,1,NLA 07,,,5.88,2
NLA06608-0334,1,NLA 12,,,13.2,0.1664
NLA06608-0334,1,NLA 12,,,3.24,NA
NLA06608-0337,1,NLA 07,,,7.84,NA
NLA06608-0339,1,NLA 07,,,7.44,1.5
NLA06608-0340,1,NLA 07,,,9.904,NA
NLA06608-0341,1,NLA 07,,,5.28,0.26
NLA06608-0343,1,NLA 07,,,45.36,12
NLA06608-0343,1,NLA 12,,,13.7,0.37286
NLA06608-0343,1,NLA 12,,,11.89,0.70858
NLA06608-0344,1,NLA 07,,,24.8,0.56
NLA06608-0345,1,NLA 07,,,6.048,NA
NLA06608-0350,1,NLA 07,,,17.44,0.13
NLA06608-0350,1,NLA 12,,,7.43,NA
NLA06608-0350,1,NLA 12,,,17,NA
NLA06608-0354,1,NLA 07,,,2.088,0.75
NLA06608-0356,1,NLA 07,,,110.7,NA
NLA06608-0357,1,NLA 07,,,5.616,NA
NLA06608-0357,1,NLA 12,,,4.68,NA
NLA06608-0357,1,NLA 12,,,3.48,NA
NLA06608-0358,1,NLA 07,,,3.687,NA
NLA06608-0358,1,NLA 12,,,5.408,NA
NLA06608-0358,1,NLA 12,,,4.72,NA
NLA06608-0359,1,NLA 07,,,42.655,0.14
NLA06608-0359,1,NLA 12,,,38.28,NA
NLA06608-0359,1,NLA 12,,,49.2,0.16
NLA06608-0361,1,NLA 07,,,11.856,NA
NLA06608-0363,1,NLA 07,,,11.68,0.76
NLA06608-0363,1,NLA 12,,,18.16,0.15727
NLA06608-0363,1,NLA 12,,,17.04,0.15335
NLA06608-0366,1,NLA 07,,,7.568,NA
NLA06608-0367,1,NLA 07,,,59.4,3.5
NLA06608-0369,1,NLA 07,,,1.744,NA
NLA06608-0372,1,NLA 07,,,3.16,NA
NLA06608-0373,1,NLA 07,,,0.68,NA
NLA06608-0376,1,NLA 07,,,4.245,NA
NLA06608-0376,1,NLA 12,,,14.4,NA
NLA06608-0376,1,NLA 12,,,4.28,0.12911
NLA06608-0377,1,NLA 07,,,44.928,0.46
NLA06608-0378,1,NLA 07,,,0.548,NA
NLA06608-0378,1,NLA 12,,,0.637333333,NA
NLA06608-0378,1,NLA 12,,,0.67,NA
NLA06608-0384,1,NLA 07,,,3.387,NA
NLA06608-0385,1,NLA 07,,,2.312,NA
NLA06608-0385,1,NLA 12,,,6.616,NA
NLA06608-0385,1,NLA 12,,,7.22,NA
NLA06608-0386,1,NLA 07,,,0.832,NA
NLA06608-0388,1,NLA 07,,,0.33,NA
NLA06608-0388,1,NLA 12,,,1.59,NA
NLA06608-0388,1,NLA 12,,,1.16,NA
NLA06608-0388,2,NLA 07,,,0.352,NA
NLA06608-0388,2,NLA 12,,,0.78,NA
NLA06608-0388,2,NLA 12,,,0.6205,NA
NLA06608-0393,1,NLA 07,,,1.239,NA
NLA06608-0394,1,NLA 12,,,35.68,NA
NLA06608-0394,1,NLA 12,,,34.4,NA
NLA06608-0395,1,NLA 07,,,30.4,NA
NLA06608-0399,1,NLA 07,,,3.352,0.15
NLA06608-0401,1,NLA 07,,,16.16,0.43
NLA06608-0401,1,NLA 12,,,5.662857143,0.13042
NLA06608-0401,1,NLA 12,,,7.58,NA
NLA06608-0402,1,NLA 07,,,73.728,1.2
NLA06608-0402,2,NLA 07,,,81.504,1.8
NLA06608-0403,1,NLA 07,,,5.36,NA
NLA06608-0405,1,NLA 07,,,8.56,0.17
NLA06608-0405,1,NLA 12,,,4.34,NA
NLA06608-0405,1,NLA 12,,,0,NA
NLA06608-0406,1,NLA 07,,,1.232,NA
NLA06608-0407,1,NLA 07,,,1.813,0.77
NLA06608-0408,1,NLA 07,,,5.667,NA
NLA06608-0413,1,NLA 07,,,108.576,NA
NLA06608-0414,1,NLA 07,,,6.688,NA
NLA06608-0418,1,NLA 07,,,2.184,NA
NLA06608-0421,1,NLA 07,,,2.184,NA
NLA06608-0425,1,NLA 07,,,16.16,1.7
NLA06608-0425,1,NLA 12,,,6,NA
NLA06608-0425,1,NLA 12,,,5.37,NA
NLA06608-0426,1,NLA 07,,,3.12,0.53
NLA06608-0432,1,NLA 07,,,24.8,NA
NLA06608-0432,1,NLA 12,,,25.6,NA
NLA06608-0432,1,NLA 12,,,17.76,0.11936
NLA06608-0433,1,NLA 07,,,1.68,NA
NLA06608-0433,1,NLA 12,,,3.394285714,NA
NLA06608-0433,1,NLA 12,,,3.73,NA
NLA06608-0435,1,NLA 07,,,23.2,0.69
NLA06608-0436,1,NLA 07,,,18.216,NA
NLA06608-0439,1,NLA 07,,,377.28,7.8
NLA06608-0440,1,NLA 07,,,5.46,NA
NLA06608-0442,1,NLA 07,,,4.496,2.1
NLA06608-0444,1,NLA 07,,,10.272,NA
NLA06608-0445,1,NLA 07,,,6.848,NA
NLA06608-0445,1,NLA 12,,,3.88,NA
NLA06608-0445,1,NLA 12,,,3.76,NA
